PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
1630578,Alperen Sengun,1610612745,HOU,21.0,63,32.5,9.24,7.02,2.22,2.38,0.13,4.11,9.6,0.57,0.27,0.84,0.679,0.321,0.73,1.87,2.6,2.46,1.33,0.28,0.72,0.957,0.519
203076,Anthony Davis,1610612747,LAL,31.0,76,35.5,11.16,7.76,3.39,2.55,0.01,4.07,9.12,0.62,0.38,1.0,0.618,0.382,0.64,1.84,2.49,2.45,1.71,0.259,0.741,0.984,0.688
1630162,Anthony Edwards,1610612750,MIN,22.0,79,35.1,3.01,1.75,1.27,2.03,0.0,0.22,0.51,0.41,0.51,0.91,0.444,0.556,0.04,0.18,0.22,0.19,0.14,0.176,0.824,0.882,0.647
1628389,Bam Adebayo,1610612748,MIA,26.0,71,34.0,6.7,4.45,2.25,2.21,0.03,3.44,8.07,0.46,0.42,0.89,0.524,0.476,0.31,2.79,3.1,2.87,1.44,0.1,0.9,0.976,0.488
1630595,Cade Cunningham,1610612765,DET,22.0,62,33.5,5.47,2.97,2.5,1.65,0.02,0.19,0.4,0.35,0.24,0.6,0.595,0.405,0.02,0.48,0.5,0.48,0.15,0.032,0.968,0.968,0.29
1641717,Cason Wallace,1610612760,OKC,20.0,82,20.6,3.71,1.67,2.04,1.96,0.0,0.52,1.21,0.17,0.32,0.49,0.35,0.65,0.01,0.2,0.21,0.2,0.06,0.059,0.941,0.941,0.294
1631096,Chet Holmgren,1610612760,OKC,22.0,82,29.4,11.6,9.49,2.11,1.17,0.05,2.15,4.49,0.28,0.24,0.52,0.535,0.465,0.18,1.84,2.02,1.93,0.99,0.09,0.91,0.975,0.5
203081,Damian Lillard,1610612749,MIL,33.0,73,35.3,2.68,0.93,1.75,2.47,0.07,0.14,0.33,0.33,0.38,0.71,0.462,0.538,0.0,0.15,0.15,0.15,0.08,0.0,1.0,1.0,0.545
1628368,De'Aaron Fox,1610612758,SAC,26.0,74,35.9,4.14,1.47,2.66,3.64,0.04,0.38,0.96,0.43,0.51,0.95,0.457,0.543,0.0,0.2,0.2,0.2,0.11,0.0,1.0,1.0,0.533
201942,DeMar DeRozan,1610612741,CHI,34.0,79,37.8,4.05,1.63,2.42,1.73,0.06,0.19,0.42,0.33,0.29,0.62,0.531,0.469,0.0,0.63,0.63,0.62,0.14,0.0,1.0,1.0,0.224
1628401,Derrick White,1610612738,BOS,29.0,73,32.6,6.58,4.11,2.47,2.1,0.1,0.56,1.37,0.19,0.33,0.52,0.368,0.632,0.03,0.29,0.32,0.29,0.07,0.087,0.913,0.955,0.227
1626164,Devin Booker,1610612756,PHX,27.0,68,36.0,4.24,2.41,1.82,1.53,0.01,0.25,0.54,0.51,0.5,1.01,0.507,0.493,0.03,0.46,0.49,0.46,0.13,0.061,0.939,0.939,0.273
1627734,Domantas Sabonis,1610612758,SAC,28.0,82,35.7,7.84,6.06,1.78,1.94,0.02,5.95,14.11,0.52,0.35,0.88,0.597,0.403,1.04,1.63,2.67,2.62,1.95,0.388,0.612,0.982,0.731
1628378,Donovan Mitchell,1610612739,CLE,27.0,55,35.3,2.96,1.18,1.78,3.05,0.0,0.09,0.2,0.45,0.56,1.02,0.446,0.554,0.0,0.45,0.45,0.42,0.24,0.0,1.0,0.92,0.52
203110,Draymond Green,1610612744,GSW,34.0,55,27.1,8.42,5.29,3.13,2.09,0.38,2.53,6.45,0.4,0.25,0.65,0.611,0.389,0.24,1.56,1.8,1.73,0.85,0.131,0.869,0.969,0.48
203507,Giannis Antetokounmpo,1610612749,MIL,29.0,73,35.2,6.47,3.6,2.86,2.18,0.01,2.05,4.99,0.51,0.34,0.85,0.597,0.403,0.45,0.51,0.96,0.9,0.68,0.471,0.529,0.943,0.714
1629630,Ja Morant,1610612763,MEM,24.0,9,35.3,3.56,2.0,1.56,1.56,0.11,0.22,0.44,0.33,0.56,0.89,0.375,0.625,0.0,0.67,0.67,0.67,0.11,0.0,1.0,1.0,0.167
1628973,Jalen Brunson,1610612752,NYK,27.0,77,35.4,3.65,1.47,2.18,1.45,0.45,0.17,0.36,0.36,0.39,0.75,0.483,0.517,0.03,0.26,0.29,0.29,0.09,0.091,0.909,1.0,0.318
1631114,Jalen Williams,1610612760,OKC,23.0,71,31.3,3.97,2.31,1.66,2.75,0.01,0.28,0.65,0.31,0.41,0.72,0.431,0.569,0.06,0.68,0.73,0.69,0.37,0.077,0.923,0.942,0.5
1627750,Jamal Murray,1610612743,DEN,27.0,59,31.5,5.56,2.81,2.75,1.83,0.02,0.29,0.66,0.29,0.36,0.64,0.447,0.553,0.07,0.15,0.22,0.22,0.08,0.308,0.692,1.0,0.385
201935,James Harden,1610612746,LAC,34.0,72,34.3,4.44,1.97,2.47,1.9,0.0,0.21,0.46,0.29,0.43,0.72,0.404,0.596,0.0,0.61,0.61,0.6,0.35,0.0,1.0,0.977,0.568
1628991,Jaren Jackson Jr.,1610612763,MEM,24.0,66,32.2,8.32,6.15,2.17,2.73,0.03,1.71,4.2,0.45,0.33,0.79,0.577,0.423,0.11,0.83,0.94,0.88,0.39,0.113,0.887,0.951,0.426
1627759,Jaylen Brown,1610612738,BOS,27.0,70,33.5,4.16,2.03,2.13,1.79,0.01,0.24,0.6,0.57,0.49,1.06,0.541,0.459,0.13,0.74,0.87,0.83,0.44,0.148,0.852,0.983,0.525
1628369,Jayson Tatum,1610612738,BOS,26.0,74,35.7,3.7,1.86,1.84,1.97,0.0,0.47,1.2,0.32,0.31,0.64,0.511,0.489,0.04,0.5,0.54,0.53,0.32,0.075,0.925,1.0,0.615
202710,Jimmy Butler,1610612748,MIA,34.0,60,34.0,3.23,1.33,1.9,2.27,0.02,0.72,1.67,0.52,0.45,0.97,0.534,0.466,0.22,0.4,0.62,0.58,0.3,0.351,0.649,0.946,0.486
203954,Joel Embiid,1610612755,PHI,30.0,39,33.6,12.1,9.67,2.44,1.46,0.03,3.46,8.31,0.54,0.54,1.08,0.5,0.5,0.46,1.44,1.9,1.82,1.18,0.243,0.757,0.986,0.639
201950,Jrue Holiday,1610612738,BOS,34.0,69,32.8,5.06,2.38,2.68,2.25,0.09,0.49,1.25,0.36,0.39,0.75,0.481,0.519,0.06,0.67,0.72,0.67,0.25,0.08,0.92,0.958,0.354
203944,Julius Randle,1610612752,NYK,29.0,46,35.4,5.37,2.43,2.93,1.07,0.0,1.04,2.43,0.52,0.28,0.8,0.649,0.351,0.46,0.46,0.91,0.91,0.59,0.5,0.5,1.0,0.643
1626157,Karl-Anthony Towns,1610612750,MIN,28.0,62,32.7,7.4,4.71,2.69,1.34,0.02,0.97,2.15,0.45,0.35,0.81,0.56,0.44,0.31,1.03,1.34,1.26,0.87,0.229,0.771,0.975,0.675
202695,Kawhi Leonard,1610612746,LAC,33.0,68,34.3,5.41,2.9,2.51,2.82,0.04,0.49,1.09,0.56,0.63,1.19,0.469,0.531,0.04,0.74,0.78,0.74,0.28,0.057,0.943,0.943,0.358
201142,Kevin Durant,1610612756,PHX,35.0,75,37.2,5.92,3.29,2.63,1.56,0.05,0.45,1.03,0.33,0.43,0.76,0.439,0.561,0.0,0.59,0.59,0.53,0.27,0.0,1.0,0.93,0.465
204001,Kristaps Porzingis,1610612738,BOS,28.0,57,29.6,11.67,8.68,2.98,1.16,0.0,2.35,5.39,0.19,0.23,0.42,0.458,0.542,0.33,1.63,1.96,1.93,0.82,0.17,0.83,0.991,0.423
202681,Kyrie Irving,1610612742,DAL,32.0,58,35.0,3.03,1.72,1.31,2.52,0.09,0.6,1.38,0.48,0.72,1.21,0.4,0.6,0.0,0.26,0.26,0.24,0.09,0.0,1.0,0.933,0.333
1630163,LaMelo Ball,1610612766,CHA,22.0,22,32.3,2.82,1.14,1.68,2.86,0.0,0.36,0.73,0.27,0.45,0.73,0.375,0.625,0.0,0.09,0.09,0.09,0.0,0.0,1.0,1.0,0.0
1628374,Lauri Markkanen,1610612762,UTA,27.0,55,33.1,7.76,5.36,2.4,1.4,0.0,1.58,3.67,0.29,0.38,0.67,0.432,0.568,0.15,0.84,0.98,0.98,0.55,0.148,0.852,1.0,0.556
2544,LeBron James,1610612747,LAL,39.0,71,35.3,3.79,1.87,1.92,1.8,0.11,0.61,1.34,0.28,0.27,0.55,0.513,0.487,0.14,0.68,0.82,0.8,0.48,0.172,0.828,0.983,0.586
1629652,Luguentz Dort,1610612760,OKC,25.0,79,28.4,4.24,1.71,2.53,1.67,0.05,0.76,1.66,0.29,0.56,0.85,0.343,0.657,0.18,0.41,0.58,0.51,0.22,0.304,0.696,0.909,0.386
1629029,Luka Doncic,1610612742,DAL,25.0,70,37.5,4.76,1.97,2.79,2.63,0.1,0.19,0.44,0.5,0.6,1.1,0.455,0.545,0.01,0.57,0.59,0.59,0.34,0.024,0.976,1.0,0.585
1628969,Mikal Bridges,1610612751,BKN,27.0,82,34.8,4.11,2.11,2.0,1.51,0.01,0.17,0.39,0.33,0.28,0.61,0.54,0.46,0.01,0.45,0.46,0.45,0.1,0.026,0.974,0.974,0.211
203999,Nikola Jokic,1610612743,DEN,29.0,79,34.6,7.04,4.97,2.06,3.01,0.05,4.37,10.0,0.39,0.3,0.7,0.564,0.436,0.58,1.51,2.09,2.09,1.39,0.279,0.721,1.0,0.667
1631094,Paolo Banchero,1610612753,ORL,21.0,80,35.0,5.95,3.0,2.95,1.4,0.0,0.8,1.79,0.26,0.29,0.55,0.477,0.523,0.06,0.49,0.55,0.53,0.26,0.114,0.886,1.0,0.5
1627783,Pascal Siakam,1610612754,IND,30.0,80,33.2,5.36,2.85,2.51,1.53,0.01,0.78,1.79,0.36,0.44,0.8,0.453,0.547,0.14,0.9,1.04,1.0,0.53,0.133,0.867,1.0,0.525
202331,Paul George,1610612746,LAC,34.0,74,33.8,5.92,3.19,2.73,2.95,0.07,0.51,1.15,0.34,0.38,0.72,0.472,0.528,0.03,0.58,0.61,0.58,0.36,0.044,0.956,0.956,0.6
203497,Rudy Gobert,1610612750,MIN,32.0,76,34.1,10.97,9.28,1.7,1.63,0.01,4.76,11.43,0.24,0.16,0.39,0.6,0.4,0.93,1.89,2.83,2.78,1.91,0.33,0.67,0.995,0.684
201566,Russell Westbrook,1610612746,LAC,35.0,68,22.5,1.94,1.07,0.87,1.82,0.07,0.38,0.85,0.4,0.43,0.82,0.482,0.518,0.13,0.1,0.24,0.22,0.16,0.563,0.438,0.938,0.688
1630567,Scottie Barnes,1610612761,TOR,22.0,60,34.9,7.08,4.37,2.72,2.25,0.02,0.72,1.63,0.27,0.55,0.82,0.327,0.673,0.43,1.5,1.93,1.85,1.0,0.224,0.776,0.982,0.531
1628983,Shai Gilgeous-Alexander,1610612760,OKC,25.0,75,34.0,6.01,2.75,3.27,3.51,0.0,0.53,1.2,0.36,0.57,0.93,0.386,0.614,0.03,0.31,0.33,0.33,0.15,0.08,0.92,1.0,0.44
201939,Stephen Curry,1610612744,GSW,36.0,74,32.7,4.09,1.53,2.57,1.58,0.09,1.07,2.46,0.36,0.38,0.74,0.491,0.509,0.03,0.28,0.31,0.3,0.08,0.087,0.913,0.957,0.261
1629027,Trae Young,1610612737,ATL,25.0,54,36.0,2.43,0.65,1.78,2.39,0.22,0.19,0.44,0.31,0.35,0.67,0.472,0.528,0.0,0.04,0.04,0.04,0.02,0.0,1.0,1.0,0.5
1630169,Tyrese Haliburton,1610612754,IND,24.0,69,32.2,3.33,1.57,1.77,2.23,0.0,0.23,0.51,0.29,0.46,0.75,0.385,0.615,0.0,0.19,0.19,0.19,0.13,0.0,1.0,1.0,0.692
1630178,Tyrese Maxey,1610612755,PHI,23.0,70,37.5,3.16,1.46,1.7,1.59,0.04,0.17,0.37,0.29,0.66,0.94,0.303,0.697,0.0,0.56,0.56,0.51,0.11,0.0,1.0,0.947,0.211
1641705,Victor Wembanyama,1610612759,SAS,20.0,71,29.7,9.07,7.2,1.87,2.87,0.15,1.89,4.17,0.24,0.28,0.52,0.459,0.541,0.28,0.58,0.86,0.83,0.48,0.328,0.672,1.0,0.576
1629627,Zion Williamson,1610612740,NOP,23.0,70,31.5,4.13,1.8,2.33,2.04,0.01,0.94,2.17,0.64,0.33,0.97,0.662,0.338,0.14,0.5,0.64,0.61,0.46,0.222,0.778,0.977,0.727
